,Unnamed: 0,Turno,ID Empleado,Apellido,Nombre,ID Puesto,Email,Unnamed: 0.1,Puesto,Departamento,Tipo Puesto,union_nombres
0,0,A,6,VILLA,JESUS,50-32200,jesus.villa@tractchun.com,52,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo,JESUS VILLA
1,1,,10,MENDEZ,RICARDO,15-24100,ricardo.mendez@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,RICARDO MENDEZ
2,2,,21,HEREDIA,GUADALUPE,90-14000,guadalupe.heredia@tractchun.com,90,Supervisor de Ingeniería de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,GUADALUPE HEREDIA
3,3,,27,DURAN,DESSENS,15-24100,dessens.duran@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,DESSENS DURAN
4,4,,29,LAGUNA,FEDERICO,80-24100,federico.laguna@tractchun.com,87,Supervisor de Producción,MANTENIMIENTO,Mandos Medios,FEDERICO LAGUNA
5,5,,31,LEON,VICTOR,80-22220,victor.leon@tractchun.com,80,Ingeniero de Procesos,MANTENIMIENTO,Operativo,VICTOR LEON
6,6,,37,PEREYDA,JORGE,55-23200,jorge.pereyda@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,JORGE PEREYDA
7,7,,41,Gaviria,Yasmir,10-32110,yasmir.gaviria@tractchun.com,6,Almacenista,MATERIALES,Administrativo,Yasmir Gaviria
8,8,,43,GONZALES,RUBEN,70-21110,ruben.gonzales@tractchun.com,70,Entrenamiento,Recursos Humanos,Administrativo,RUBEN GONZALES
9,9,,49,CAMPAS,SIQUEIROS,55-23200,siqueiros.campas@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,SIQUEIROS CAMPAS
10,10,,57,URIBE,AIDEE,70-21120,aidee.uribe@tractchun.com,71,Auxiliar de Recursos Humanos,Recursos Humanos,Administrativo,AIDEE URIBE
11,11,,60,DIAZ,PATRICIA,50-32200,patricia.diaz@tractchun.com,52,Comprador de Materiales,CONTROL DE PRODUCCION,Administrativo,PATRICIA DIAZ
12,12,,61,ZAZUETA,ARTURO,20-31320,arturo.zazueta@tractchun.com,23,Clerk de Aduanas,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,ARTURO ZAZUETA
13,13,,63,Pareja,Fernando,15-24100,fernando.pareja@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,Fernando Pareja
14,14,,83,ESCALANTE,AARON,50-33000,aaron.escalante@tractchun.com,54,Gerente de Control de Producción,CONTROL DE PRODUCCION,Gerencia,AARON ESCALANTE
15,15,,89,SANCHEZ,ALFREDO,50-33110,alfredo.sanchez@tractchun.com,56,Controlador de producción,CONTROL DE PRODUCCION,Mandos Medios,ALFREDO SANCHEZ
16,16,,91,SANTILLANEZ,BENJAMIN,70-21120,benjamin.santillanez@tractchun.com,71,Auxiliar de Recursos Humanos,Recursos Humanos,Administrativo,BENJAMIN SANTILLANEZ
17,17,,96,TORRES,GILBERTO,45-11000,gilberto.torres@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,GILBERTO TORRES
18,18,,99,GARCIA,DIANA,15-24100,diana.garcia@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,DIANA GARCIA
19,19,,101,RODRIGUEZ,BURROLA,80-22000,burrola.rodriguez@tractchun.com,73,Gerente de mantenimiento,MANTENIMIENTO,Gerencia,BURROLA RODRIGUEZ
20,20,,119,AMAYA,ALVARO,50-60010,alvaro.amaya@tractchun.com,58,Auxiliar de Departamento,CONTROL DE PRODUCCION,Administrativo,ALVARO AMAYA
21,21,,121,MACHADO,EDELMIRA,15-24100,edelmira.machado@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,EDELMIRA MACHADO
22,22,,126,Velez,Luz,80-22210,luz.velez@tractchun.com,78,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios,Luz Velez
23,23,,147,Zapata,Juan ,55-23200,juan .zapata@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,Juan  Zapata
